claim_id,policy_id,date_of_loss,report_date,segment,product_line,incurred_amount,paid_amount,outstanding_amount,status,period_month
CLM-2024-00016,POL-3155,2024-09-26,2024-11-16,Casualty,StopLoss,3940.07,60.35,3879.7200000000003,Open,9
CLM-2024-00017,POL-7925,2024-04-23,2024-06-26,Marine,StopLoss,4142.89,1020.35,3122.5400000000004,Open,4
CLM-2024-00018,POL-8019,2024-12-18,2025-02-26,Life,QuotaShare,717.63,173.54,544.09,Open,12
CLM-2024-00019,POL-1495,2024-01-25,2024-04-17,Marine,QuotaShare,7392.06,7379.91,12.150000000000546,Open,1
CLM-2024-00020,POL-9564,2024-10-20,2024-11-22,Marine,QuotaShare,69074.26,42087.82,26986.439999999995,Open,10
CLM-2024-00021,POL-4365,2024-04-29,2024-05-29,Casualty,StopLoss,17496.81,5107.32,12389.490000000002,Open,4
CLM-2024-00022,POL-2747,2024-03-12,2024-04-28,Aviation,ExcessOfLoss,33141.78,8104.13,25037.649999999998,Open,3
CLM-2024-00023,POL-1081,2024-02-21,2024-04-10,Marine,StopLoss,1783.61,838.18,945.43,Open,2
CLM-2024-00024,POL-5179,2024-05-04,2024-07-03,Aviation,StopLoss,12596.38,4208.59,8387.789999999999,Open,5
CLM-2024-00025,POL-3997,2024-11-10,2024-11-30,Aviation,QuotaShare,12426.11,10971.88,1454.2300000000014,Open,11
CLM-2024-00026,POL-5689,2024-01-08,2024-03-19,Life,ExcessOfLoss,43474.89,39017.6,4457.290000000001,Open,1
CLM-2024-00027,POL-6893,2024-08-16,2024-09-12,Casualty,StopLoss,2566.31,2112.98,453.3299999999999,Open,8
CLM-2024-00028,POL-3724,2024-02-22,2024-03-01,Aviation,StopLoss,6836.82,2814.01,4022.8099999999995,Open,2
CLM-2024-00029,POL-1546,2024-08-18,2024-10-11,Marine,QuotaShare,15867.36,6652.82,9214.54,Open,8
CLM-2024-00030,POL-7366,2024-08-31,2024-11-07,Aviation,QuotaShare,8044.43,3155.52,4888.91,Open,8
CLM-2024-00031,POL-1714,2024-03-05,2024-05-12,Life,QuotaShare,5799.55,3776.11,2023.44,Open,3
CLM-2024-00032,POL-4161,2024-03-02,2024-04-21,Casualty,QuotaShare,59613.41,56730.06,2883.350000000006,Open,3
CLM-2024-00033,POL-3808,2024-10-02,2024-12-06,Aviation,StopLoss,10968.7,3053.64,7915.060000000001,Open,10
CLM-2024-00034,POL-7067,2024-11-29,2024-12-27,Aviation,StopLoss,44113.39,6956.9,37156.49,Open,11
CLM-2024-00035,POL-6517,2024-12-11,2024-12-24,Life,QuotaShare,11836.87,8381.61,3455.26,Open,12
CLM-2024-00036,POL-6300,2024-07-19,2024-07-20,Life,ExcessOfLoss,28869.48,1558.74,27310.739999999998,Open,7
CLM-2024-00037,POL-9531,2024-07-17,2024-09-17,Life,StopLoss,53608.1,14694.47,38913.63,Open,7
CLM-2024-00038,POL-9514,2024-11-16,2024-11-26,Life,QuotaShare,3673.28,1403.99,2269.29,Open,11
CLM-2024-00039,POL-4132,2024-04-19,2024-06-17,Casualty,QuotaShare,27676.18,24397.33,3278.8499999999985,Open,4
CLM-2024-00040,POL-4924,2024-08-01,2024-10-21,Life,QuotaShare,5213.57,3225.3,1988.2699999999995,Open,8
CLM-2024-00041,POL-4603,2024-11-16,2025-01-08,Aviation,StopLoss,4337.97,1036.81,3301.1600000000003,Open,11
CLM-2024-00042,POL-7695,2024-08-05,2024-08-26,Casualty,ExcessOfLoss,87523.02,33741.05,53781.97,Open,8
CLM-2024-00043,POL-3144,2024-10-29,2025-01-24,Marine,StopLoss,753.41,502.69,250.71999999999997,Open,10
CLM-2024-00044,POL-3507,2024-04-09,2024-05-06,Marine,StopLoss,41014.23,1671.97,39342.26,Open,4
CLM-2024-00045,POL-8103,2024-08-27,2024-09-04,Property,QuotaShare,5803.21,245.92,5557.29,Open,8
CLM-2024-00046,POL-1890,2024-10-25,2024-10-31,Aviation,QuotaShare,1465.72,1224.14,241.57999999999993,Open,10
CLM-2024-00047,POL-6580,2024-06-04,2024-06-29,Life,QuotaShare,78756.84,10131.59,68625.25,Open,6
CLM-2024-00048,POL-1188,2024-08-19,2024-09-24,Marine,ExcessOfLoss,61598.2,1439.37,60158.829999999994,Open,8
CLM-2024-00049,POL-6018,2024-10-17,2024-10-19,Marine,QuotaShare,4919.23,1624.45,3294.7799999999997,Open,10
CLM-2024-00050,POL-7953,2024-06-23,2024-07-25,Life,StopLoss,99955.47,71082.29,28873.180000000008,Open,6
CLM-2024-00051,POL-8234,2024-10-02,2024-10-23,Property,QuotaShare,63542.37,61754.5,1787.8700000000026,Open,10
CLM-2024-00052,POL-2971,2024-06-07,2024-07-09,Aviation,StopLoss,6322.29,2112.53,4209.76,Open,6
CLM-2024-00053,POL-7166,2024-07-30,2024-10-23,Marine,StopLoss,8285.65,6303.73,1981.92,Open,7
CLM-2024-00054,POL-7882,2024-02-10,2024-03-20,Casualty,ExcessOfLoss,14236.22,11770.5,2465.7199999999993,Open,2
CLM-2024-00055,POL-6559,2024-08-26,2024-09-17,Life,QuotaShare,397426.48,285088.51,112337.96999999997,Open,8
CLM-2024-00056,POL-4305,2024-01-10,2024-03-02,Casualty,StopLoss,8961.05,5206.94,3754.1099999999997,Open,1
CLM-2024-00057,POL-1956,2024-01-08,2024-01-13,Property,ExcessOfLoss,9001.18,5203.88,3797.3,Open,1
CLM-2024-00058,POL-2699,2024-12-29,2025-02-02,Life,ExcessOfLoss,602.08,571.53,30.550000000000068,Open,12
CLM-2024-00059,POL-1549,2024-08-30,2024-10-29,Marine,QuotaShare,13647.24,13280.16,367.0799999999999,Open,8
CLM-2024-00060,POL-5707,2024-05-13,2024-07-05,Life,QuotaShare,7283.86,5432.21,1851.6499999999996,Open,5
CLM-2024-00061,POL-5010,2024-09-29,2024-10-08,Marine,ExcessOfLoss,40169.74,25364.56,14805.179999999997,Open,9
CLM-2024-00062,POL-7016,2024-05-30,2024-08-01,Life,StopLoss,5099.62,186.18,4913.44,Open,5
CLM-2024-00063,POL-8716,2024-02-20,2024-05-09,Marine,StopLoss,1143.62,133.15,1010.4699999999999,Open,2
CLM-2024-00064,POL-7186,2024-06-04,2024-08-06,Marine,ExcessOfLoss,2369.99,2224.77,145.2199999999998,Open,6
CLM-2024-00065,POL-8110,2024-03-06,2024-03-18,Life,QuotaShare,32096.2,8670.82,23425.38,Open,3
CLM-2024-00066,POL-6576,2024-06-05,2024-08-01,Aviation,QuotaShare,4101.86,584.48,3517.3799999999997,Open,6
CLM-2024-00067,POL-8913,2024-05-26,2024-06-15,Casualty,ExcessOfLoss,11222.86,9601.78,1621.08,Open,5
CLM-2024-00068,POL-4872,2024-08-23,2024-10-27,Aviation,ExcessOfLoss,5270.0,2093.75,3176.25,Open,8
CLM-2024-00069,POL-2832,2024-11-18,2024-11-19,Casualty,QuotaShare,30914.15,25515.83,5398.32,Open,11
CLM-2024-00070,POL-8615,2024-08-10,2024-08-11,Life,ExcessOfLoss,42377.13,20317.55,22059.579999999998,Open,8
CLM-2024-00071,POL-4493,2024-07-17,2024-09-20,Casualty,StopLoss,-82945.6,6597.0,76348.6,Open,7
CLM-2024-00072,POL-9651,2024-07-23,2024-09-30,Property,ExcessOfLoss,25358.66,5661.81,19696.85,Open,7
CLM-2024-00073,POL-5662,2024-07-20,2024-10-04,Life,ExcessOfLoss,18256.48,14347.74,3908.74,Open,7
CLM-2024-00074,POL-1272,2024-11-20,2025-01-19,Property,ExcessOfLoss,38967.66,5465.7,33501.96000000001,Open,11
CLM-2024-00075,POL-3100,2024-03-27,2024-05-22,Casualty,ExcessOfLoss,18407.66,18021.8,385.8600000000006,Open,3
CLM-2024-00076,POL-2213,2024-03-11,2024-03-13,Casualty,ExcessOfLoss,34591.46,21857.46,12734.0,Open,3
CLM-2024-00077,POL-7728,2024-11-13,2024-12-20,Property,QuotaShare,3945.59,1926.78,2018.8100000000002,Open,11
CLM-2024-00078,POL-5294,2024-09-10,2024-11-16,Property,StopLoss,1229303.99,263596.17,965707.8200000001,Open,9
CLM-2024-00079,POL-3213,2024-11-16,2024-12-14,Property,ExcessOfLoss,17989.84,6612.08,11377.76,Open,11
CLM-2024-00080,POL-5116,2024-04-22,2024-07-11,Casualty,ExcessOfLoss,21565.79,5450.43,16115.36,Open,4
CLM-2024-00081,POL-7621,2024-08-09,2024-09-05,Casualty,StopLoss,3143.39,284.34,2859.0499999999997,Open,8
CLM-2024-00082,POL-3234,2024-09-17,2024-10-24,Property,QuotaShare,19173.35,16829.23,2344.119999999999,Open,9
CLM-2024-00083,POL-6553,2024-05-11,2024-07-13,Marine,QuotaShare,-1526.24,286.03,1240.21,Open,5
CLM-2024-00084,POL-2591,2024-03-18,2024-05-03,Property,ExcessOfLoss,8577.88,3718.2,4859.679999999999,Open,3
CLM-2024-00085,POL-6490,2024-09-21,2024-11-03,Property,StopLoss,872433.24,472267.85,400165.39,Open,9
CLM-2024-00086,POL-4401,2024-05-11,2024-05-22,Life,StopLoss,28351.85,11926.1,16425.75,Open,5
CLM-2024-00087,POL-6238,2024-09-22,2024-11-28,Marine,QuotaShare,10723.47,10592.12,131.34999999999854,Open,9
CLM-2024-00088,POL-7559,2024-03-04,2024-05-20,Casualty,QuotaShare,3115.75,812.68,2303.07,Open,3
CLM-2024-00089,POL-6676,2024-12-15,2024-12-16,Aviation,QuotaShare,8870.71,2292.34,6578.369999999999,Open,12
CLM-2024-00090,POL-3806,2024-05-25,2024-07-09,Casualty,ExcessOfLoss,628.5,58.73,569.77,Open,5
CLM-2024-00091,POL-5128,2024-01-12,2024-01-30,Property,ExcessOfLoss,2994.27,265.45,2728.82,Open,1
CLM-2024-00092,POL-3022,2024-03-27,2024-05-18,Life,QuotaShare,13670.22,9039.65,4630.57,Open,3
CLM-2024-00093,POL-9268,2024-10-23,2024-11-03,Property,QuotaShare,5675.73,4722.32,953.4099999999999,Open,10
CLM-2024-00094,POL-2584,2024-07-04,2024-08-30,Life,ExcessOfLoss,342.09,97.51,244.57999999999998,Open,7
CLM-2024-00095,POL-8913,2024-05-18,2024-08-07,Life,ExcessOfLoss,3178.22,2008.64,1169.5799999999997,Open,5
CLM-2024-00096,POL-8305,2024-12-29,2025-01-24,Property,StopLoss,11004.76,4690.85,6313.91,Open,12
CLM-2024-00097,POL-7144,2024-09-04,2024-10-11,Property,ExcessOfLoss,17114.52,7146.34,9968.18,Open,9
CLM-2024-00098,POL-9308,2024-11-20,2025-01-05,Aviation,StopLoss,115787.85,80582.38,35205.47,Open,11
CLM-2024-00099,POL-3862,2024-03-11,2024-05-19,Life,QuotaShare,1328.96,293.53,1035.43,Open,3
CLM-2024-00100,POL-7651,2024-09-25,2024-11-20,Property,QuotaShare,15434.91,14998.77,436.1399999999994,Open,9
CLM-2024-00101,POL-3763,2024-12-19,2025-01-12,Aviation,StopLoss,17624.51,11283.2,6341.309999999998,Open,12
CLM-2024-00102,POL-2016,2024-01-19,2024-03-22,Casualty,StopLoss,7791.99,1434.23,6357.76,Open,1
CLM-2024-00103,POL-1403,2024-07-19,2024-09-10,Marine,QuotaShare,23500.86,5321.9,18178.96,Open,7
CLM-2024-00104,POL-3321,2024-04-28,2024-07-27,Property,QuotaShare,57091.46,37918.82,19172.64,Open,4
CLM-2024-00105,POL-8928,2024-02-13,2024-04-18,Life,StopLoss,12194.44,1769.01,10425.43,Open,2
CLM-2024-00106,POL-4942,2024-07-17,2024-07-25,Casualty,QuotaShare,13448.53,11976.77,1471.7600000000002,Open,7
CLM-2024-00107,POL-8801,2024-06-04,2024-08-31,Marine,QuotaShare,12637.14,12392.07,245.0699999999997,Open,6
CLM-2024-00108,POL-6515,2024-04-15,2024-05-31,Marine,QuotaShare,64092.65,40426.85,23665.800000000003,Open,4
CLM-2024-00109,POL-1642,2024-08-19,2024-09-29,Casualty,QuotaShare,178749.03,77769.31,100979.72,Open,8
CLM-2024-00110,POL-3408,2024-01-13,2024-04-04,Property,ExcessOfLoss,2983.93,1841.73,1142.1999999999998,Open,1
CLM-2024-00111,POL-8453,2024-11-23,2025-01-12,Casualty,ExcessOfLoss,10243.07,9042.49,1200.58,Open,11
CLM-2024-00112,POL-5837,2024-10-02,2024-10-04,Casualty,QuotaShare,21385.41,20541.15,844.2599999999984,Open,10
CLM-2024-00113,POL-4196,2024-03-12,2024-05-20,Marine,QuotaShare,31150.72,6209.24,24941.480000000003,Open,3
CLM-2024-00114,POL-6176,2024-12-20,2025-03-17,Marine,ExcessOfLoss,21183.13,15179.73,6003.4000000000015,Open,12
CLM-2024-00115,POL-7309,2024-09-19,2024-10-11,Aviation,QuotaShare,16644.46,13388.17,3256.289999999999,Open,9
CLM-2024-00116,POL-3039,2024-12-23,2025-03-06,Marine,StopLoss,11395.85,8307.58,3088.2700000000004,Open,12
CLM-2024-00117,POL-8844,2024-03-17,2024-05-17,Aviation,StopLoss,24908.99,24391.09,517.9000000000015,Open,3
CLM-2024-00118,POL-6188,2024-08-21,2024-10-10,Marine,QuotaShare,51106.26,16639.22,34467.04,Open,8
CLM-2024-00119,POL-8139,2024-06-22,2024-07-15,Aviation,ExcessOfLoss,7801.78,1287.24,6514.54,Open,6
CLM-2024-00120,POL-6602,2024-11-07,2024-11-25,Casualty,StopLoss,5550.31,5018.63,531.6800000000003,Open,11
CLM-2024-00121,POL-7783,2024-04-02,2024-06-03,Casualty,QuotaShare,6438.53,3131.29,3307.24,Open,4
CLM-2024-00122,POL-4862,2024-11-24,2024-12-02,Life,QuotaShare,49748.05,6967.23,42780.82000000001,Open,11
CLM-2024-00123,POL-3043,2024-02-20,2024-04-06,Life,StopLoss,41310.78,9859.14,31451.64,Open,2
CLM-2024-00124,POL-4586,2024-05-18,2024-07-31,Property,ExcessOfLoss,4892.88,3835.73,1057.15,Open,5
CLM-2024-00125,POL-1619,2024-05-20,2024-07-08,Marine,ExcessOfLoss,3515.92,797.08,2718.84,Open,5
CLM-2024-00126,POL-4713,2024-02-21,2024-04-12,Casualty,ExcessOfLoss,17443.65,13892.72,3550.930000000002,Open,2
CLM-2024-00127,POL-8275,2024-11-17,2025-02-07,Marine,ExcessOfLoss,1189.3,1180.28,9.019999999999982,Open,11
CLM-2024-00128,POL-1775,2024-04-08,2024-07-04,Marine,StopLoss,8157.45,6011.63,2145.8199999999997,Open,4
CLM-2024-00129,POL-5707,2024-04-29,2024-06-02,Marine,QuotaShare,9664.65,3442.15,6222.5,Open,4
CLM-2024-00130,POL-3380,2024-08-13,2024-11-01,Aviation,QuotaShare,21421.82,14010.79,7411.029999999999,Open,8
CLM-2024-00131,POL-2882,2024-09-13,2024-11-01,Marine,ExcessOfLoss,24225.53,9995.23,14230.3,Open,9
CLM-2024-00132,POL-7276,2024-09-08,2024-10-13,Life,StopLoss,685.87,492.2,193.67000000000002,Open,9
CLM-2024-00133,POL-8762,2024-06-08,2024-09-01,Property,StopLoss,5585.63,4051.59,1534.04,Open,6
CLM-2024-00134,POL-2536,2024-07-26,2024-09-05,Marine,QuotaShare,11436.73,2964.22,8472.51,Open,7
CLM-2024-00135,POL-1531,2024-01-26,2024-04-01,Life,StopLoss,7154.29,1576.11,5578.18,Open,1
CLM-2024-00136,POL-6299,2024-08-15,2024-09-07,Property,ExcessOfLoss,19127.42,3648.04,15479.379999999997,Open,8
CLM-2024-00137,POL-8480,2024-09-20,2024-09-30,Casualty,StopLoss,3064.79,65.28,2999.5099999999998,Open,9
CLM-2024-00138,POL-1333,2024-03-26,2024-06-09,Life,ExcessOfLoss,21277.41,11322.67,9954.74,Open,3
CLM-2024-00139,POL-3730,2024-10-04,2024-12-04,Property,StopLoss,15215.15,4953.36,10261.79,Open,10
CLM-2024-00140,POL-6786,2024-03-05,2024-03-23,Casualty,QuotaShare,43297.27,2861.39,40435.88,Open,3
CLM-2024-00141,POL-2512,2024-06-05,2024-08-10,Life,QuotaShare,2042.73,563.05,1479.68,Open,6
CLM-2024-00142,POL-8741,2024-08-23,2024-09-30,Aviation,StopLoss,607.06,277.59,329.46999999999997,Open,8
CLM-2024-00143,POL-5448,2024-11-17,2025-01-25,Property,ExcessOfLoss,2755.88,1270.77,1485.1100000000001,Open,11
CLM-2024-00144,POL-5732,2024-05-25,2024-07-06,Casualty,QuotaShare,32096.11,29618.03,2478.0800000000017,Open,5
CLM-2024-00145,POL-5787,2024-01-29,2024-04-17,Casualty,ExcessOfLoss,11361.03,10906.57,454.46000000000095,Open,1
CLM-2024-00146,POL-5816,2024-04-22,2024-06-25,Casualty,QuotaShare,23252.04,4082.77,19169.27,Open,4
CLM-2024-00147,POL-8107,2024-09-12,2024-10-02,Life,QuotaShare,32183.38,12568.85,19614.53,Open,9
CLM-2024-00148,POL-9911,2024-03-09,2024-05-23,Marine,StopLoss,1242.4,980.04,262.3600000000001,Open,3
CLM-2024-00149,POL-7698,2024-09-18,2024-10-10,Marine,QuotaShare,18262.62,6336.75,11925.869999999999,Open,9
CLM-2024-00150,POL-3508,2024-04-09,2024-06-09,Property,QuotaShare,136827.92,17809.78,119018.14000000001,Open,4
CLM-2024-00151,POL-7722,2024-11-28,2025-01-29,Casualty,StopLoss,957.44,586.99,370.45000000000005,Open,11
CLM-2024-00152,POL-9296,2024-08-12,2024-09-29,Marine,ExcessOfLoss,18828.62,14108.97,4719.65,Open,8
CLM-2024-00153,POL-1109,2024-11-03,2024-12-15,Casualty,QuotaShare,7323.38,6460.56,862.8199999999997,Open,11
CLM-2024-00154,POL-1418,2024-12-16,2025-01-29,Casualty,QuotaShare,24658.08,19305.81,5352.27,Open,12
CLM-2024-00155,POL-6680,2024-07-24,2024-08-21,Property,StopLoss,18984.54,9650.49,9334.050000000001,Open,7
CLM-2024-00156,POL-7296,2024-07-18,2024-10-12,Life,StopLoss,30445.51,13663.83,16781.68,Open,7
CLM-2024-00157,POL-9578,2024-08-10,2024-09-09,Marine,StopLoss,10113.26,2939.25,7174.01,Open,8
CLM-2024-00158,POL-4981,2024-06-06,2024-08-24,Property,ExcessOfLoss,2665.66,1342.98,1322.6799999999998,Open,6
CLM-2024-00159,POL-1601,2024-09-14,2024-10-17,Life,ExcessOfLoss,13187.39,6808.06,6379.329999999999,Open,9
CLM-2024-00160,POL-6016,2024-07-28,2024-08-21,Life,StopLoss,6106.22,4678.22,1428.0,Open,7
CLM-2024-00161,POL-8390,2024-06-24,2024-09-14,Life,ExcessOfLoss,25118.4,16883.0,8235.400000000001,Open,6
CLM-2024-00162,POL-3929,2024-07-09,2024-09-06,Life,StopLoss,9124.48,2702.19,6422.289999999999,Open,7
CLM-2024-00163,POL-9168,2024-09-16,2024-11-09,Casualty,ExcessOfLoss,4863.22,3754.06,1109.1600000000003,Open,9
CLM-2024-00164,POL-9523,2024-03-08,2024-04-14,Casualty,StopLoss,19628.75,608.15,19020.6,Open,3
CLM-2024-00165,POL-8178,2024-04-14,2024-04-18,Aviation,QuotaShare,25730.47,9055.53,16674.940000000002,Open,4
CLM-2024-00166,POL-2688,2024-12-16,2024-12-19,Life,ExcessOfLoss,1025823.63,454998.8,570824.8300000001,Open,12
CLM-2024-00167,POL-9259,2024-10-16,2024-12-27,Casualty,StopLoss,1889.69,1110.21,779.48,Open,10
CLM-2024-00168,POL-3760,2024-03-05,2024-04-10,Casualty,QuotaShare,8498.78,3354.21,5144.570000000001,Open,3
CLM-2024-00169,POL-5314,2024-01-15,2024-02-19,Property,QuotaShare,46535.43,2071.26,44464.17,Open,1
CLM-2024-00170,POL-9725,2024-01-08,2024-04-05,Casualty,StopLoss,2494.52,2208.62,285.9000000000001,Open,1
CLM-2024-00171,POL-3039,2024-08-27,2024-11-15,Aviation,ExcessOfLoss,5103.76,5047.55,56.210000000000036,Open,8
CLM-2024-00172,POL-2672,2024-10-29,2024-11-15,Property,QuotaShare,7485.35,2039.77,5445.58,Open,10
CLM-2024-00173,POL-6283,2024-07-19,2024-10-01,Casualty,QuotaShare,5370.82,4937.21,433.6099999999997,Open,7
CLM-2024-00174,POL-9359,2024-10-20,2024-12-06,Property,QuotaShare,6494.67,5006.48,1488.1900000000005,Open,10
CLM-2024-00175,POL-1634,2024-04-05,2024-05-18,Aviation,QuotaShare,1042.97,87.93,955.04,Open,4
CLM-2024-00176,POL-4683,2024-10-15,2024-12-02,Marine,StopLoss,23889.89,11664.24,12225.65,Open,10
CLM-2024-00177,POL-4351,2024-09-10,2024-10-10,Casualty,QuotaShare,7839.71,5650.86,2188.8500000000004,Open,9
CLM-2024-00178,POL-4831,2024-04-23,2024-06-25,Aviation,StopLoss,7619.27,5273.77,2345.5,Open,4
CLM-2024-00179,POL-4844,2024-04-04,2024-05-24,Aviation,QuotaShare,3072.12,2217.94,854.1799999999998,Open,4
CLM-2024-00180,POL-1481,2024-07-02,2024-08-05,Life,QuotaShare,1798.6,117.15,1681.4499999999998,Open,7
CLM-2024-00181,POL-2391,2024-03-31,2024-06-12,Aviation,ExcessOfLoss,33988.27,17318.73,16669.539999999997,Open,3
CLM-2024-00182,POL-2170,2024-06-22,2024-08-27,Casualty,QuotaShare,4938.51,1423.5,3515.01,Open,6
CLM-2024-00183,POL-9795,2024-01-20,2024-02-04,Aviation,ExcessOfLoss,4103.79,10.91,4092.88,Open,1
CLM-2024-00184,POL-5925,2024-04-20,2024-05-27,Marine,QuotaShare,38439.11,17669.42,20769.690000000002,Open,4
CLM-2024-00185,POL-3997,2024-01-03,2024-02-26,Casualty,StopLoss,2322.07,1925.78,396.2900000000002,Open,1
CLM-2024-00186,POL-9287,2024-04-01,2024-04-13,Marine,StopLoss,247.11,159.64,87.47000000000003,Open,4
CLM-2024-00187,POL-4234,2024-07-22,2024-08-05,Marine,StopLoss,123566.88,47993.67,75573.21,Open,7
CLM-2024-00188,POL-1300,2024-01-02,2024-02-01,Marine,ExcessOfLoss,7248.78,364.23,6884.549999999999,Open,1
CLM-2024-00189,POL-1170,2024-09-09,2024-10-11,Life,ExcessOfLoss,9558.43,5636.09,3922.34,Open,9
CLM-2024-00190,POL-8544,2024-12-22,2025-02-08,Marine,QuotaShare,87512.54,45536.62,41975.91999999999,Open,12
CLM-2024-00191,POL-6407,2024-09-04,2024-10-30,Aviation,StopLoss,1364.79,899.48,465.30999999999995,Open,9
CLM-2024-00192,POL-9554,2024-10-11,2024-10-20,Casualty,QuotaShare,264838.83,45759.22,219079.61000000002,Open,10
CLM-2024-00193,POL-6385,2024-04-13,2024-07-11,Casualty,StopLoss,5745.6,1412.77,4332.83,Open,4
CLM-2024-00194,POL-1088,2024-02-16,2024-04-28,Aviation,QuotaShare,4208.18,3847.83,360.35000000000036,Open,2
CLM-2024-00195,POL-5864,2024-01-06,2024-01-16,Casualty,QuotaShare,2193.29,2093.29,100.0,Open,1
CLM-2024-00196,POL-1829,2024-12-17,2024-12-20,Marine,ExcessOfLoss,16496.96,4443.85,12053.109999999999,Open,12
CLM-2024-00197,POL-4702,2024-09-02,2024-10-23,Aviation,StopLoss,16622.35,11785.53,4836.819999999998,Open,9
CLM-2024-00198,POL-3370,2024-09-29,2024-11-11,Casualty,StopLoss,12405.93,6345.32,6060.610000000001,Open,9
CLM-2024-00199,POL-5414,2024-06-09,2024-07-19,Casualty,ExcessOfLoss,788.19,757.61,30.58000000000004,Open,6
CLM-2024-00200,POL-2551,2024-07-19,2024-07-27,Casualty,QuotaShare,5376.58,3339.59,2036.9899999999998,Open,7
CLM-2024-00201,POL-1314,2024-07-26,2024-09-21,Marine,StopLoss,315.18,46.29,268.89,Open,7
CLM-2024-00202,POL-4123,2024-02-28,2024-05-02,Casualty,QuotaShare,5629.75,4896.96,732.79,Open,2
CLM-2024-00203,POL-2860,2024-11-11,2025-01-30,Marine,StopLoss,7943.23,4771.65,3171.58,Open,11
CLM-2024-00204,POL-1728,2024-10-04,2024-12-31,Marine,ExcessOfLoss,3851.96,1163.43,2688.5299999999997,Open,10
CLM-2024-00205,POL-4326,2024-05-24,2024-07-23,Property,ExcessOfLoss,72549.13,34997.13,37552.00000000001,Open,5
CLM-2024-00206,POL-6636,2024-09-17,2024-10-31,Aviation,StopLoss,4592.34,1487.73,3104.61,Open,9
CLM-2024-00207,POL-2896,2024-10-15,2024-12-01,Property,StopLoss,1028.88,9.45,1019.4300000000001,Open,10
CLM-2024-00208,POL-4214,2024-07-07,2024-08-20,Casualty,ExcessOfLoss,46756.1,43956.88,2799.220000000001,Open,7
CLM-2024-00209,POL-5578,2024-11-09,2024-11-29,Aviation,StopLoss,196.78,52.38,144.4,Open,11
CLM-2024-00210,POL-8777,2024-04-11,2024-06-26,Aviation,ExcessOfLoss,13654.45,8161.75,5492.700000000001,Open,4
CLM-2024-00211,POL-7241,2024-03-07,2024-04-10,Aviation,ExcessOfLoss,1162.35,448.77,713.5799999999999,Open,3
CLM-2024-00212,POL-6312,2024-01-03,2024-01-10,Life,StopLoss,109656.36,57553.56,52102.8,Open,1
CLM-2024-00213,POL-6327,2024-11-12,2025-02-08,Property,ExcessOfLoss,19481.97,2083.68,17398.29,Open,11
CLM-2024-00214,POL-1566,2024-02-26,2024-03-13,Marine,ExcessOfLoss,407.69,18.25,389.44,Open,2
CLM-2024-00215,POL-3608,2024-08-26,2024-10-27,Life,QuotaShare,11035.44,306.7,10728.74,Open,8
CLM-2024-00216,POL-6658,2024-07-25,2024-07-30,Marine,QuotaShare,14455.76,6967.71,7488.05,Open,7
CLM-2024-00217,POL-7646,2024-03-03,2024-05-02,Aviation,ExcessOfLoss,33644.87,4600.99,29043.880000000005,Open,3
CLM-2024-00218,POL-6899,2024-01-23,2024-03-26,Marine,StopLoss,7455.19,2791.83,4663.36,Open,1
CLM-2024-00219,POL-1402,2024-12-08,2025-02-06,Marine,StopLoss,6134.58,5656.09,478.4899999999998,Open,12
